method: expEuler
test: test1
0.369 -0.543089 -0.159258 
0.37 -0.54515 -0.161542 
0.371 -0.547214 -0.163839 
0.372 -0.549282 -0.166149 
0.373 -0.551353 -0.168472 
0.374 -0.553427 -0.170809 
0.375 -0.555505 -0.173158 
0.376 -0.557586 -0.175522 
0.377 -0.55967 -0.177898 
0.378 -0.561758 -0.180288 
0.379 -0.563849 -0.182691 
0.38 -0.565943 -0.185107 
0.381 -0.568041 -0.187537 
0.382 -0.570142 -0.18998 
0.383 -0.572246 -0.192437 
0.384 -0.574354 -0.194908 
0.385 -0.576464 -0.197392 
0.386 -0.578578 -0.19989 
0.387 -0.580695 -0.202401 
0.388 -0.582816 -0.204926 
0.389 -0.58494 -0.207465 
0.39 -0.587066 -0.210018 
0.391 -0.589196 -0.212584 
0.392 -0.59133 -0.215165 
0.393 -0.593466 -0.217759 
0.394 -0.595605 -0.220367 
0.395 -0.597748 -0.222989 
0.396 -0.599894 -0.225626 
0.397 -0.602043 -0.228276 
0.398 -0.604195 -0.23094 
0.399 -0.60635 -0.233619 
0.4 -0.608508 -0.236311 
0.401 -0.610669 -0.239018 
0.402 -0.612833 -0.241739 
0.403 -0.615001 -0.244475 
0.404 -0.617171 -0.247225 
0.405 -0.619344 -0.249989 
0.406 -0.62152 -0.252767 
0.407 -0.623699 -0.25556 
0.408 -0.625881 -0.258368 
0.409 -0.628066 -0.26119 
0.41 -0.630254 -0.264027 
0.411 -0.632445 -0.266878 
0.412 -0.634639 -0.269744 
0.413 -0.636835 -0.272624 
0.414 -0.639035 -0.27552 
0.415 -0.641237 -0.27843 
0.416 -0.643442 -0.281355 
0.417 -0.64565 -0.284294 
0.418 -0.64786 -0.287249 
0.419 -0.650073 -0.290219 
0.42 -0.652289 -0.293204 
0.421 -0.654508 -0.296203 
0.422 -0.656729 -0.299218 
0.423 -0.658953 -0.302248 
0.424 -0.66118 -0.305293 
0.425 -0.663409 -0.308353 
0.426 -0.66564 -0.311429 
0.427 -0.667875 -0.31452 
0.428 -0.670112 -0.317626 
0.429 -0.672351 -0.320747 
0.43 -0.674593 -0.323884 
0.431 -0.676837 -0.327037 
0.432 -0.679084 -0.330205 
0.433 -0.681333 -0.333388 
0.434 -0.683584 -0.336587 
0.435 -0.685838 -0.339802 
0.436 -0.688094 -0.343033 
0.437 -0.690353 -0.346279 
0.438 -0.692614 -0.349541 
0.439 -0.694877 -0.352819 
0.44 -0.697142 -0.356113 
0.441 -0.69941 -0.359422 
0.442 -0.701679 -0.362748 
0.443 -0.703951 -0.36609 
0.444 -0.706225 -0.369447 
0.445 -0.708501 -0.372821 
0.446 -0.710779 -0.376211 
0.447 -0.713059 -0.379617 
0.448 -0.715341 -0.38304 
0.449 -0.717625 -0.386479 
0.45 -0.719911 -0.389934 
0.451 -0.722198 -0.393405 
0.452 -0.724488 -0.396893 
0.453 -0.72678 -0.400398 
0.454 -0.729073 -0.403919 
0.455 -0.731368 -0.407456 
0.456 -0.733664 -0.41101 
0.457 -0.735963 -0.414581 
0.458 -0.738263 -0.418169 
0.459 -0.740565 -0.421773 
0.46 -0.742868 -0.425395 
0.461 -0.745173 -0.429033 
0.462 -0.747479 -0.432688 
0.463 -0.749787 -0.43636 
0.464 -0.752096 -0.440049 
0.465 -0.754406 -0.443755 
0.466 -0.756718 -0.447479 
0.467 -0.759031 -0.451219 
0.468 -0.761346 -0.454977 
0.469 -0.763662 -0.458752 
0.47 -0.765978 -0.462545 
0.471 -0.768296 -0.466354 
0.472 -0.770616 -0.470182 
0.473 -0.772936 -0.474026 
0.474 -0.775257 -0.477889 
0.475 -0.777579 -0.481769 
0.476 -0.779902 -0.485666 
0.477 -0.782226 -0.489582 
0.478 -0.784551 -0.493515 
0.479 -0.786876 -0.497465 
0.48 -0.789203 -0.501434 
0.481 -0.79153 -0.505421 
0.482 -0.793857 -0.509425 
0.483 -0.796185 -0.513448 
0.484 -0.798514 -0.517489 
0.485 -0.800843 -0.521548 
0.486 -0.803173 -0.525625 
0.487 -0.805503 -0.52972 
0.488 -0.807833 -0.533834 
0.489 -0.810164 -0.537966 
0.49 -0.812495 -0.542116 
0.491 -0.814826 -0.546285 
0.492 -0.817157 -0.550472 
0.493 -0.819489 -0.554678 
0.494 -0.82182 -0.558903 
0.495 -0.824151 -0.563146 
0.496 -0.826482 -0.567408 
0.497 -0.828813 -0.571689 
0.498 -0.831144 -0.575989 
0.499 -0.833475 -0.580307 
0.5 -0.835805 -0.584645 
0.501 -0.838135 -0.589002 
0.502 -0.840464 -0.593377 
0.503 -0.842793 -0.597772 
0.504 -0.845121 -0.602186 
0.505 -0.847449 -0.60662 
0.506 -0.849776 -0.611072 
0.507 -0.852102 -0.615545 
0.508 -0.854427 -0.620036 
0.509 -0.856752 -0.624547 
0.51 -0.859075 -0.629078 
0.511 -0.861397 -0.633628 
